candidate_id,distribution,regime,intended_training_role,split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons
3,interior_train,normal,interior_train,train,0,0.9320413991697771,0.043845149244102266,0.1624998802043473,-0.1042576822316152,0.05694495964217737,2.6570064331549084,0.019997549631667985,0.2125072608129261,0.054397394476352945,0.014150436480068737,True,True,0.5116165172920742,0.40354806529690257,0.013828740830124406,0.9861712591698756,0.1443485384087976,0.048993695484148135,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
13,interior_train,normal,interior_train,train,0,0.30096908060434313,0.09486647073553842,0.1777248521244108,0.074319660579586,0.10694408883580393,3.3401197633945547,0.06287925088184676,0.36925293146659866,0.33700075688498116,0.013611119713961624,True,True,0.2877174733910331,0.5098897829202618,0.11909292208971504,0.880907077910285,0.2543222328694738,0.04681903110468397,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
14,interior_train,normal,interior_train,validation,0,0.9211028734150313,0.04285548687784588,0.19918258383493412,-0.5606270455432303,0.14511220701275981,1.8062468776251246,0.06153491540490472,0.1901628545465029,0.290327535784134,0.07363783285219022,True,True,0.3310921633361189,0.720170133090754,0.39859276222901885,0.6014072377709812,0.07407062796737184,0.12385475220501864,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
15,interior_train,normal,interior_train,validation,0,1.0251373091609455,0.030021737488773192,0.18173217658393942,-0.10505277976205618,0.07351309178793913,2.371415213537474,0.011117405573161888,0.1758451878798917,0.151869182008249,0.05034238404650041,True,True,0.3016114002372346,0.2606882222409991,0.034100334979589746,0.9658996650204102,0.11265923885996057,0.04604750289475701,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
17,interior_train,normal,interior_train,test,0,0.45958139911163176,0.03901213308478715,0.08071486165277875,-0.278533020062753,0.050952125890150926,1.5202643398732083,0.06477497180021104,0.2288674112997289,-0.22082748809154165,0.07462046113969442,True,True,0.6925009377291641,0.5798323738491179,0.12634542276209793,0.8736545772379021,0.08876007872481813,0.07609533834450125,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
23,interior_train,normal,interior_train,train,0,1.1525674265491783,0.03183134546723107,0.07552907885369856,0.17197651493455338,0.08102967841170389,2.251392613630149,0.048652575856193876,0.296510907588619,-0.3365014087160241,0.08033902278216562,True,True,0.8557251299176105,0.42722248927090395,0.14280911975690336,0.8571908802430966,0.09195189850049965,0.07088349633537543,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
30,interior_train,normal,interior_train,train,0,1.2167945132031843,0.07901729831407682,0.29040870480027714,0.14321668040067528,0.0332306348524368,3.7919130324026407,0.054855064491722685,0.30460623341061566,0.18913445654249575,0.008250195871371898,True,True,0.3902588425445461,0.6352765495624653,0.05628286019661438,0.9437171398033857,0.21549108947275789,0.02520240270714475,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
39,interior_train,normal,interior_train,test,0,0.31483759312786136,0.04040357555402541,0.0489869947193138,-0.030776105488521267,0.08728400847760807,1.942424944008343,0.07798059286768541,0.4390755191971161,-0.10582297802712733,0.06326189530429495,True,True,0.8276112077089293,0.2222087415800916,0.012145671347570462,0.9878543286524295,0.1361997783163583,0.04420803489378272,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
42,interior_train,normal,interior_train,train,0,0.6006874437915595,0.07132350526598036,0.20372207912387658,-0.5941625661395192,0.13582886559056512,1.5137513529500344,0.04405120681717027,0.2664859484583407,-0.17725547522962237,0.029560910802795673,True,True,0.3473853768955192,0.3050710196996679,0.38444865850037785,0.6155513414996221,0.07640702168690167,0.11113270484998254,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
47,interior_train,normal,interior_train,train,0,0.46112727230950346,0.07865620912465626,0.1884453615106127,-0.5196475826019604,0.021501949704216507,1.625437262287519,0.06273987948411731,0.26774407641170633,-0.168579388815476,0.01209851566956387,True,True,0.34269751562291473,0.47986333790988794,0.29845262043746074,0.7015473795625393,0.09743179832452013,0.04071982124824141,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
