candidate_id,distribution,regime,intended_training_role,split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons,parameter_vector_hash,protocol_eligible,protocol_exclusion_reason
0,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.2284521066810577,0.23008089056533465,0.12482314047072801,-0.32007005292432988,0.27728713342215533,6.7963024231121008,0.08478727078317734,0.30570175208194184,0.2709967630478689,0.11733233501540141,True,True,0.7418380304208555,0.84998626884405382,0.17588408436140612,0.82411591563859388,0.54961090514067312,0.060492239552900916,False,False,False,False,False,True,,,ace67a6fafcae6ae58d9c2f4808b29047a113291c1e06347fbcbe21a450265af,True,
1,wide_valid_train,fast_high_mean_reversion,wide_valid_train,train,0,0.14464952463123404,0.014017708647934682,0.047717370236610476,-0.13039724676867356,0.016079763984609186,10.489512457816744,0.12170508041914695,0.9087573234704388,-0.60902871312289186,0.17299934995127411,True,True,0.28084177636163471,0.51120630268840705,0.38791941537297603,0.61208058462702397,0.86567890654272062,0.032084584620757299,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,7da402d097b55fad2da4368a6ea1964bf1520d3a73f692a8c0bd3cbfd13c1b2b,False,ordinary_training_margin_policy
2,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.25572218605853891,0.23043833109323938,0.19795053773921978,-0.076362419026154801,0.27507383744009239,6.3424114111940568,0.13785198173963056,0.76673536684939592,-0.068997794698091516,0.11304183478761974,True,True,0.50096516758147525,0.49678550546256439,0.010591914712726035,0.98940808528727398,0.50934637867242827,0.069736334257131841,False,False,False,False,False,True,,,4e498ace691ebde7b76525c55b1883cf16cc9d79d30dae2fc2cb71b4ba355b0e,True,
3,wide_valid_train,fast_high_mean_reversion,wide_valid_train,train,0,0.68451218246884205,0.060979802980018726,0.18815378589840737,0.216427376931913,0.18889874556256295,11.246753678876106,0.00870367116395406,0.33185574855230082,0.3779811802676295,0.14232937808605722,True,True,0.40443383965039487,0.27998248255909525,0.18971058212213859,0.81028941787786146,0.88386958128931081,0.033856925070475045,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,aa9ebc238a681ed0924218f0af91ded8d14c781852858ecbaf1a2c86dbd8cef3,False,ordinary_training_margin_policy
4,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.21663839823821049,0.21731312068935812,0.061838009949422033,-0.7314201146035294,0.26944651138690123,3.0251917066678442,0.1441985657609734,0.41010988408397009,-0.26996260226765023,0.092985375713576332,True,True,0.9219450247254074,0.67675847610165829,0.60785519066976168,0.39214480933023832,0.23502538145854676,0.056487592623122189,False,False,False,False,False,True,,,958f8752fdeb91dbcf17b24802033e9299a0bbed43fdd604d9e7a1c5be07c530,True,
5,wide_valid_train,fast_high_mean_reversion,wide_valid_train,train,0,0.35094185020109619,0.13127186843778188,0.099586362838274559,0.45117009139069408,0.20539818393900711,10.906963321659166,0.11784194468655708,1.2514327999552692,-0.12225161309170653,0.15252705667116809,True,True,0.80564517369033339,0.24283038178620692,0.21849990826901156,0.78150009173098844,0.88334907710946198,0.091851821709313761,False,False,False,False,False,True,,,de7ac8cc2d7e7b0d9c332da08493c13eda8c82007062cd83427c2a66ef578a5d,True,
6,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.20748463083759291,0.22209133033848233,0.083995320322440781,0.33708672363520537,0.25523223276866552,4.4012966674818239,0.13247822499773243,0.24062183400164944,0.079233929509065035,0.075875967856590038,True,True,0.85778113871888539,0.90539793503879529,0.1199054748365648,0.88009452516343523,0.35094661394512394,0.053384620622912847,False,False,False,False,False,True,,,18b6c5a9a397165b368a7a6886c90ad761c1d5d80e287ca30daab6a9bd8997c3,True,
7,wide_valid_train,fast_high_mean_reversion,wide_valid_train,train,0,0.52417727373325196,0.066355049638213315,0.1869634679395363,0.30869113449245467,0.12202808468853159,10.903997912873278,0.13755250124240401,1.146831750775849,0.19020989781997005,0.035960416084666644,True,True,0.33111964461190396,0.39039027124213294,0.13147002174292219,0.86852997825707778,0.86860423758493943,0.092101015724934635,False,False,False,False,False,True,,,dbb38c2f91aedb35f973891c02a327bc2566be1c194eed4727833f02bbca9ddf,True,
8,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.24833521195008382,0.21194602891599404,0.1664776108450054,-0.084838794200984863,0.27628707822102261,3.7003678315589781,0.05091858793314729,0.35245371031358202,-0.32188376398558055,0.023225622496957601,True,True,0.5831801277656774,0.50415535793826349,0.11080677851900197,0.889193221480998,0.28887302256141378,0.067232275237316536,False,False,False,False,False,True,,,f18156affe8897ea4070762097775ff90c6e374baed149e7574f9f54e7a5984d,True,
9,wide_valid_train,fast_high_mean_reversion,wide_valid_train,train,0,0.15832941594200189,0.042450765122677335,0.060825894447964095,-0.079710898022310475,0.18047411521891704,10.916635807258105,0.021381416597894221,0.40683495016683902,0.39285395030968068,0.18019428987323069,True,True,0.5683413304249999,0.47650179557642136,0.16068805353744423,0.8393119464625558,0.90027668546578288,0.036721835912543015,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,7b90df0fed70daa70d16d67c305910a81a81e474d2e041bf68048495482b6e6b,False,ordinary_training_margin_policy
