case,days,ATM_IV,smirk_IV_slope_KF_09_to_11
BASE_representative_0,6.999999999999991,0.16213408549879502,-0.4453012440839844
BASE_representative_0,8.094081362394542,0.1624932436035126,-0.43915396892586617
BASE_representative_0,9.359164728723284,0.16290134953646382,-0.4316044920381948
BASE_representative_0,10.821977256905717,0.16336395301375398,-0.4230667023953096
BASE_representative_0,12.513423488482637,0.16388691217583637,-0.4134478904141262
BASE_representative_0,14.469238262553997,0.16447631731613754,-0.40268559280274674
BASE_representative_0,16.730741678426387,0.1651383850403213,-0.39073898206254715
BASE_representative_0,19.345712056912767,0.1658793198853149,-0.37759284802460186
BASE_representative_0,22.369395343158498,0.16670514218189258,-0.36326085915605905
BASE_representative_0,25.865672276442183,0.16762148391469026,-0.3477868438687448
BASE_representative_0,29.908407985508134,0.1686333590878448,-0.33124434635754874
BASE_representative_0,34.58301252205633,0.16974492228045507,-0.3137350518393751
BASE_representative_0,39.98824530146206,0.17095923901522792,-0.2953867537492441
BASE_representative_0,46.238301572775235,0.17227810335222649,-0.27635130914339945
BASE_representative_0,53.465224998425725,0.1737019483774791,-0.25680264891610793
BASE_representative_0,61.82169731371289,0.17522989770566905,-0.23693455534457827
BASE_representative_0,71.48426400264603,0.1768599933805599,-0.2169577056959239
BASE_representative_0,82.65706413833011,0.17858960345627603,-0.19709542697519122
BASE_representative_0,95.576143187473,0.180415964696808,-0.1775776762770949
BASE_representative_0,110.51443989475435,0.1823367648784632,-0.15863294633497615
BASE_representative_0,127.78755260394381,0.1843506325257929,-0.14047818060088535
BASE_representative_0,147.76040683965695,0.1864573940890401,-0.12330745648530803
BASE_representative_0,170.85496501438675,0.1886579852142241,-0.10728102489710872
BASE_representative_0,197.55914114221787,0.1909539593815455,-0.09251681599978301
BASE_representative_0,228.43710889855788,0.19334661133435793,-0.07908624097923603
BASE_representative_0,264.14122080215964,0.1958358067779548,-0.06701500474554964
BASE_representative_0,305.42579033355867,0.1984186654333623,-0.05628824667750831
BASE_representative_0,353.16302816192723,0.2010882703374291,-0.04685835730951479
BASE_representative_0,408.3614691617554,0.20383257472222033,-0.038653627848923844
BASE_representative_0,472.18727952317596,0.20663366252623078,-0.03158632594478766
BASE_representative_0,545.9888941069051,0.2094675019473317,-0.02555945261971518
BASE_representative_0,631.325504552161,0.2123043131213972,-0.020471985579321728
BASE_representative_0,730.0,0.2151096379772781,-0.016222727976910878
FAST_SHOCK_representative_0,6.999999999999991,0.19910213401120264,-0.3798005212460717
FAST_SHOCK_representative_0,8.094081362394542,0.19887067680221185,-0.3758585805089563
FAST_SHOCK_representative_0,9.359164728723284,0.19861124610762154,-0.37134525854735045
FAST_SHOCK_representative_0,10.821977256905717,0.1983219665145608,-0.36618880607138193
FAST_SHOCK_representative_0,12.513423488482637,0.19800137628433895,-0.36031278048822485
FAST_SHOCK_representative_0,14.469238262553997,0.19764866467367986,-0.353637415867977
FAST_SHOCK_representative_0,16.730741678426387,0.19726397412280092,-0.34608170648254677
FAST_SHOCK_representative_0,19.345712056912767,0.196848773685139,-0.33756633526883084
FAST_SHOCK_representative_0,22.369395343158498,0.19640630484161972,-0.3280175596881399
