candidate_id,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,positivity_valid,hard_bounds_valid,ordering_valid,slow_feller_gap,fast_feller_gap,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,minimum_normalized_constraint_distance,constraint_violating,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,boundary_near,weak_slow_fast_separation,correlation_disk_near,feller_near,accepted,primary_rejection_reason,rejection_reasons
0,0.49185094180063393,0.04173083338495272,0.2588050199144437,-0.63768630808403,0.021968139742523853,1.7029163633026598,0.07862409675435265,0.08877503207969582,-0.04645636177149137,0.04056834378025696,True,True,True,-0.025929338927886944,0.25989951550500634,-0.2400181603016086,0.9428211374017892,0.4088020210668841,0.5911979789331159,0.1013443867365712,0.056036810755649376,-0.2400181603016086,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
2,1.2905516688023562,0.07348931196486971,0.429820391214482,-0.5496683362118672,0.12721554014101782,2.0149855705693684,0.052782551277394125,0.5414638636683505,-0.3556675999669954,0.08011292659385921,True,True,True,0.0049379396870287695,-0.08047095725508416,0.013187917256173977,-0.15906643406434576,0.4286347215002049,0.5713652784997951,0.06062208382987551,0.16092315719070321,-0.15906643406434576,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
4,0.2909302983991441,0.11067418560936489,0.23838759093449027,-0.505310668197662,0.1394914088599481,4.118437848704453,0.0136113647055642,0.38351501164787416,-0.3719629987920684,0.0895874617970116,True,True,True,0.007568304177279703,-0.03496864500743797,0.06243157160413183,-0.13491047708514742,0.3936953438647559,0.6063046561352441,0.32029351885400076,0.05864325608870808,-0.13491047708514742,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
6,1.0039951268060132,0.03798922852272482,0.4037989723609472,-0.24469380578876399,0.14929179834919615,4.124631482323688,0.06109956090706615,0.20206823727104722,0.2007570472592558,0.043320718491148914,True,True,True,-0.08677160946388555,0.46319477243304913,-0.36255202145507753,0.8501202929963005,0.10017845061564443,0.8998215493843555,0.2611411176165418,0.13181821891039947,-0.36255202145507753,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
7,0.6646739086944233,0.025047371167765075,0.3390864652426592,0.06791233041749734,0.12160736890588798,3.6348771466314442,0.01967051127616458,0.10820967129483418,-0.474515368511381,0.011645001240855216,True,True,True,-0.08168296271756428,0.13129045083883745,-0.5508834736986225,0.8486277576036332,0.22977691957622703,0.770223080423773,0.248552572212303,0.038891134035706515,-0.5508834736986225,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
8,0.9177781915071344,0.03563679889915845,0.10612896540718722,0.11184179885989398,0.06867144244134411,5.064099963237516,0.017008265901558427,0.5722034180144997,-0.34894987999063476,0.051273312412415416,True,True,True,0.05414999639114622,-0.15515363413384445,0.7062117779107507,-0.31050607348177983,0.1342746067176954,0.8657253932823046,0.34697253319919513,0.07579932273514356,-0.31050607348177983,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
11,1.4874387575974735,0.06163033397396209,0.133666946933527,-0.5166515611970939,0.14666295846371397,1.8942071417074042,0.0274636349687392,0.5475327516269133,-0.015004449975169698,0.017435977398569176,True,True,True,0.16547584209056473,-0.1957484871140771,0.8224055177807228,-0.48472303759863516,0.26715396920645185,0.7328460307935482,0.03403919532300676,0.06224184434906926,-0.48472303759863516,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
13,1.3722233070743428,0.025404186199114553,0.384385429892235,-0.4160984891492456,0.06358603705876609,4.602779930408741,0.053498509168109845,0.6034749340201374,0.277591612622897,0.03809195968397469,True,True,True,-0.0780317259140756,0.12830173262091887,-0.3588117719629163,0.1497687241782742,0.25019505607086534,0.7498049439291347,0.27033946638781575,0.08328239264944716,-0.3588117719629163,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
15,0.9741812652510415,0.06824358119403791,0.06363531064554728,-0.012202074386165385,0.11348712653560997,3.309268815334964,0.014168464323937873,0.3504216714224787,0.3494496891339295,0.057436462311711206,True,True,True,0.12891378378478477,-0.029020833505736462,0.9408893762841071,-0.1340021793633899,0.12226397585512548,0.8777360241448745,0.19540481590660438,0.058929960447786214,-0.1340021793633899,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
20,0.26415637313329254,0.11049669060594129,0.4091155677931624,0.13196464958023435,0.13370429141539508,4.410047006537149,0.01218095892731844,0.522332985510321,-0.2515624551520778,0.03741777335669564,True,True,True,-0.10899873774332763,-0.16539454484377997,-0.4828243601432343,-0.43494096627272427,0.08069833758097521,0.9193016624190248,0.34693645467814704,0.051418984481406256,-0.4828243601432343,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller;fast_feller
27,1.4223015293337502,0.0260367096843251,0.41201509282810955,-0.24849572436654555,0.08615298592240904,4.975998394538638,0.0659216686023923,0.2917591291443905,0.2999223819116956,0.08430798889838287,True,True,True,-0.09569233271248682,0.5709288448225314,-0.3924703490050802,0.7703017025463712,0.1517035602000392,0.8482964397999608,0.29738049081212453,0.08586412116051062,-0.3924703490050802,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
28,0.7871591570889254,0.07708778497502274,0.07616954599684464,-0.30660030172282515,0.08372839345527364,2.0238621501104452,0.032716039599148594,0.5346595684001322,-0.27507338260104086,0.045108691943435406,True,True,True,0.11555891194821702,-0.15343534558935293,0.9087498403036662,-0.3668189052233474,0.169669110832106,0.830330889167894,0.10348979021100585,0.07152718190637652,-0.3668189052233474,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
32,0.3419467120948565,0.09202491378493982,0.3560198305222092,-0.289818916520051,0.11726268686840015,5.470170097330794,0.02443017017616044,0.07460669518855495,-0.1696125693616592,0.0796509408002613,True,True,True,-0.06381488632591695,0.2617082137737129,-0.3364249546675869,0.9591984450981605,0.11276342805831993,0.88723657194168,0.429140032237317,0.04655966233348156,-0.3364249546675869,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
33,0.5799081360685505,0.06496697702080312,0.4199380976233882,-0.5208824503136464,0.12391876016099726,2.8238326606779545,0.028908732333357536,0.5843774179638807,-0.18612155988064838,0.048006535847463054,True,True,True,-0.10099824873526572,-0.1782301215426684,-0.40126796343840815,-0.3530960766363517,0.30595976209715414,0.6940402379028459,0.18777611084597523,0.13590268855231077,-0.40126796343840815,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller;fast_feller
34,1.2796606620968924,0.07642283493661428,0.4463122004128621,-0.30998245234140537,0.06888512995931516,1.975379202359472,0.07089285048569186,0.1558039019972545,-0.026649099766747453,0.06118770166916634,True,True,True,-0.003603989128752094,0.2558056690132605,-0.009128988093611956,0.8404834781216369,0.09679929527796971,0.9032007047220303,0.05821912470816566,0.10087217524899965,-0.009128988093611956,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
36,0.9173965305907692,0.05145317135241324,0.44771565559550897,-0.5288068641202582,0.11360856532199733,4.509559292942383,0.02842727717568494,0.11447563701825134,0.29168383379939733,0.027926661449457223,True,True,True,-0.10604338649212387,0.24328431245058338,-0.35964560126091133,0.9027459740996862,0.36471615844061567,0.6352838415593843,0.30059939433904714,0.07322785084832864,-0.35964560126091133,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
37,0.31221681064425044,0.021466999063413327,0.14995707182212634,-0.03340820110256815,0.0696075283487006,5.130490657706273,0.05596931927536878,0.6029994877116508,0.3012620711421683,0.04290090312632191,True,True,True,-0.009082407426102316,0.2106917571404051,-0.2530493724999381,0.22463998600111185,0.0918749434097785,0.9081250565902215,0.40320283239012744,0.06721224107515643,-0.2530493724999381,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
39,0.2651353412951604,0.05897131586797939,0.03607323700869564,-0.049604945388340704,0.11601778613461447,1.7674388541800305,0.04418972677791328,0.5936563901682068,0.12776852626886548,0.08047675393644094,True,True,True,0.029969481490277325,-0.1962226294617789,0.9200984344652512,-0.385784163185218,0.01878544691189803,0.981214553088102,0.12571577513680923,0.031229383928337327,-0.385784163185218,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
46,1.33383960598037,0.09593256728939785,0.041457867600662966,-0.5656965029067582,0.04964608503075107,3.8719191460784774,0.012187878893772302,0.4678170035991316,0.2769617113977314,0.09229476889174845,True,True,True,0.25419856072195746,-0.1244717855787044,0.986657498819687,-0.39737672146018044,0.3967203229812961,0.6032796770187039,0.21239159331364915,0.03664107296549042,-0.39737672146018044,True,False,False,False,False,False,False,False,False,False,False,fast_feller,fast_feller
48,0.5668716029423885,0.05790144065631812,0.2837955865188553,-0.3428893316570455,0.08396311995968023,3.6184773721994765,0.01661122920458405,0.3894725684757263,-0.28699881300028157,0.06400948833586736,True,True,True,-0.014894569972539809,-0.03147416759266633,-0.10188828825127572,-0.11575487820785775,0.19994141242778596,0.800058587572214,0.25536449951942164,0.07379408689183863,-0.11575487820785775,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller;fast_feller
50,0.45915797565438854,0.052845759214513774,0.2436009058452999,0.011039811341647443,0.07219868988633278,2.4555129720868987,0.01733655325692641,0.1761836540611727,-0.5120743493341579,0.020212943020067445,True,True,True,-0.010812297682939877,0.05409958286896936,-0.10023405086969539,0.4656493704718433,0.2623420166804603,0.7376579833195397,0.16705899551736486,0.07343928637123968,-0.10023405086969539,True,False,False,False,False,False,False,False,False,False,False,slow_feller,slow_feller
