epoch,train_total_loss,validation_total_loss,validation_parameter_loss,validation_physics_loss
1,1770.8141725601688,225.26939392089844,22.526580810546875,0.0035899656359106302
2,175.14425659179688,89.66763305664062,8.966645240783691,0.0011813968885689974
3,85.24428189185357,55.15864562988281,5.51580286026001,0.0006174903828650713
4,53.17548247306578,37.87825393676758,3.787785530090332,0.0004001573543064296
5,39.879495559200166,28.43296241760254,2.8432669639587402,0.00029231951339170337
6,29.927541732788086,22.869461059570312,2.2869231700897217,0.00022804496984463185
7,26.319978837044008,19.412866592407227,1.9412683248519897,0.0001829505490604788
8,23.306386947631836,17.2059268951416,1.7205779552459717,0.00014697923325002193
9,20.619409007410848,15.772890090942383,1.5772770643234253,0.00011922687554033473
10,18.14582154058641,14.850447654724121,1.4850350618362427,9.709710138849914e-05
11,16.06970433265932,14.214066505432129,1.4213987588882446,7.926011312520131e-05
12,16.081856635309034,13.719680786132812,1.3719614744186401,6.591327837668359e-05
