case_id,case_type,round_trip_valid,max_abs_error,violations,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,z_v0_total,z_alpha_v,z_theta_total,z_alpha_theta,z_kappa_slow,z_delta_kappa,z_sigma_slow,z_sigma_fast,z_rho_slow,z_rho_fast
0,existing_ntpc_best_fit,True,4.440892098500626e-16,,2.625533262486748,0.139993794100438,0.8566378479188727,0.6762760209383789,0.0134334621687306,11.763863089764897,0.0241024135565524,0.7521362932264983,-0.666180486338069,0.0272416814109967,-2.7163260517895975,-1.0962892684984133,-0.5987969585240684,1.8095419944910276,1.928308903261557,3.6558200562816885,7.032779520675387,6.713368972229547,1.7819278073190805,-2.991089742622706
1,random_interior,True,1.1102230246251565e-16,,1.272248531204788,0.08530852004229439,0.27826082468090785,0.5232134701465982,0.08189355676486078,2.9878686251052673,0.07789418006736305,0.12043159510031423,0.1316704176682486,0.21268821007155916,0.11860489452187917,-1.7310700026699564,-0.6076211705832757,0.05653571546076519,-0.3461286133475562,-1.6588028429961033,0.375880592987503,-1.58251361200288,1.2389173698538052,0.3115071107305274
2,random_interior,True,5.551115123125783e-17,,1.6754234771300112,0.01992620619079294,0.17680862084702942,-0.8191193714169,0.28067209288710177,6.753946677615708,0.02662085918555121,0.20056686653905298,-0.5052437373224714,0.007010211356565932,0.06766709145137462,3.8815413192678787,-2.3225683469750824,-0.5004755452003475,0.20467558016949317,-0.03245750409959447,0.7446790663833704,-0.7132914952260259,-2.6039514958990453,-2.7585955462086296
3,random_interior,True,1.7763568394002505e-15,,1.5354042325857076,0.1207793279884675,0.5569931991880134,0.8977959330527188,0.020379169441691807,11.798834168625719,0.07550220296178523,0.9307971470794879,-0.09618081959727287,0.183041497604956,-0.5678531278101663,-2.4657123133949486,-0.2929897742520098,0.4543706563843432,0.014107667992937611,3.932211790662712,2.3620174466747814,0.829247534596091,3.5665884175458196,-0.4439264047511495
4,random_interior,True,1.3877787807814457e-17,,2.7276588755441376,0.19854573488755076,0.9640196402900074,0.17166077422066772,0.07829689619521499,4.020565194828898,0.16262856069328727,0.06955750776631657,-0.1448419044342052,0.0814046104592653,-0.9384267349945177,-0.08003816866674307,1.3831130800708087,-0.31978659925852204,2.285642723277178,-1.8199826721271206,3.2829383286716345,-2.811586179106515,0.36540324810116187,-0.30732660217135843
5,random_interior,True,5.551115123125783e-17,,1.8728006210219763,0.06417298080533464,0.3196076300010392,0.4339637261741984,0.2090734033059561,4.367020854550132,0.003610121634101473,0.11098204225237539,-0.6148734066095576,0.03665746064949111,-0.24257580050461292,1.772966732233028,-1.8386764121922623,3.604155307116032,0.4806379904442044,-1.118506081230005,0.6116290698630572,0.46475261359201653,0.9865298652996513,-1.6675102335178573
6,random_interior,True,8.881784197001252e-16,,1.643725108397225,0.18245890514019322,0.4925508635477335,0.4901035540240002,0.2308079844849907,5.003643212527202,0.09355429549876056,0.029642081309199177,-0.8233387519038825,0.20418191079763762,1.3140795945396164,-0.4122064993415011,0.43578102080959713,0.45489881289382017,0.1613322201483519,-0.7334759309973142,0.5477270157295184,-3.639235534084809,1.1414689558042053,-3.5574811319697313
7,random_interior,True,2.220446049250313e-16,,0.21476802085728808,0.24905987794219184,0.31459635084732496,-0.06163457982612719,0.05041409155135506,10.521215426862007,0.15248761958803003,0.043265524266638766,0.890194732742642,0.18149928094710155,-0.34660844225857557,-1.3743487585735081,2.097155544788718,3.9227358807474406,-2.827547894364934,1.9415481748722503,3.210990917664264,-3.639403208072309,-0.12993952996113334,3.426532939711036
8,random_interior,True,2.220446049250313e-16,,1.0338950901127755,0.020116674865681822,0.16128708551548235,0.6302485450992126,0.0574930344564117,9.061894706374693,0.05340584911714262,0.037875600566720416,0.6701809843502278,0.015854061768902285,-1.9718885656501957,1.3321020256231308,-1.73331762397246,-1.2239535317648293,-0.6922903857533641,1.0051692218453097,1.2982811488493824,-3.359460758530718,1.5977934301060361,2.61151220043495
9,random_interior,True,2.220446049250313e-16,,2.5936321347416396,0.03503035619475221,0.06007050133937702,-0.590928355370417,0.16200612296864106,2.715060840919491,0.14333644830521391,0.6452204884162371,-0.6070204892990967,0.16998375709239322,0.3992525601211818,-0.5449796644250001,-0.4606462955227827,-1.54893446299435,1.8340894914495438,-4.3369039672748535,-1.8945818836757828,0.993701770234694,-1.4566184061516618,-1.957163131735312
10,random_interior,True,1.7763568394002505e-15,,2.688196594606203,0.21300932884169047,0.9554266552570264,0.2574547315304698,0.06064062831238474,11.252914936945137,0.10558113080404695,1.4634820718882724,0.19910567517502464,0.2446282177150002,0.19783497036115005,-3.7968063197112154,0.8633709873657246,0.9370751887299533,2.135477976323152,2.4392263063642368,3.059774965713053,3.6873481759330193,0.5558962898521396,0.4254743158047025
11,random_interior,True,5.551115123125783e-17,,1.4503965225922115,0.19378601056915212,0.21576333220483448,-0.037692012342450454,0.2238044380362777,2.2675395847674222,0.14801503284746265,0.7715102664908755,0.261160896383154,0.1281190492961942,0.5546692329231598,0.4697415353631133,1.1295647321884523,-0.07821106461522864,-0.10124365023408466,-2.4774200638017847,-0.9296449283979069,2.7749444478869836,-0.07939328192271022,0.5643268749993486
12,random_interior,True,2.7755575615628914e-17,,1.011868587080764,0.19369434509439307,0.2597678912291622,-0.1495516002379318,0.10055207144701699,4.313557757176178,0.07603869906668481,0.040832337936277475,-0.7568869808395853,0.06924234069811527,-0.8482239975456891,0.35136823061478506,0.3766996352665435,0.7891744551728224,-0.726072650641495,-0.8450268507558254,-0.36315506722340085,-3.066373524805172,-0.31748566918370236,-2.1791509023518714
13,random_interior,True,1.1102230246251565e-16,,0.07149221430225175,0.13190860394977708,0.027635258596029045,-0.007932348609312911,0.2680468710873645,6.862949133896872,0.02324101156958417,0.34553852571143123,0.42351694194770007,0.07046439265357143,0.44949004654121444,1.7261034503072188,-0.6882453776285715,1.7875333525183204,-4.914557540048396,0.2749799039864309,-1.5782372210657323,0.4402444985896109,-0.01670006939869506,0.9589106877138726
14,random_interior,True,1.1102230246251565e-16,,2.508360195438827,0.08000166685743193,0.5711912771329817,0.17014441793519786,0.2950864475582174,3.8528461290373723,0.13608486788448565,0.9617784945524612,-0.4044283095760418,0.210775449258676,2.4250058703986057,2.0773056534146463,-0.11220303227248796,-0.7409167992277153,1.609503475615938,-1.8016643512980104,2.206530844239478,2.7324639992766424,0.36210414921943324,-0.9093005144017867
15,random_interior,True,1.1102230246251565e-16,,0.8046700689435299,0.17794044528732156,0.4709354353370288,-0.09899662097902706,0.27025260824563085,1.7428469598937428,0.12237179837642258,0.49665882942884426,0.06857346397870967,0.24489830555331063,2.679751561921766,-1.763168727027962,0.6726862195387868,0.07443785824706195,-1.0678069655279108,-2.3918027434468057,1.982091755556412,1.1450514804722123,-0.20917328799517065,0.14461670401974147
16,random_interior,True,1.1102230246251565e-16,,2.0450048100316773,0.14457279129596995,0.615331026108958,0.5873456148540983,0.2892646858376424,2.490859177618049,0.031623241800048336,0.36953206569718167,0.43820223912960055,0.01707452986135656,0.2058004012419704,3.077179835603474,-0.4813543992382835,1.5500270174026831,0.7366954365788432,-3.0600388672862513,1.3794419637762896,2.588853933772423,1.444362307848954,1.2123645105854162
17,random_interior,True,3.9898639947466563e-17,,1.4096312854145896,0.08758844627459926,0.028156858993441412,-0.4323297356297434,0.23652811355441217,5.0680969416360595,0.12159989435360896,0.03320565848217805,-0.7054949538213171,0.008907711581649226,-0.244781622711003,3.512062898933537,-0.17481548922742096,-0.42232668329916045,-0.15675233598982985,-0.639093280584992,-3.0078179496351805,-3.6424134249608966,-0.9821870846414984,-2.1030156667360367
18,random_interior,True,1.1102230246251565e-16,,0.34188127291317677,0.10582212930477392,0.05958481251722864,0.09976464980815747,0.2449174311977297,11.0041286155664,0.1873146456557233,1.3620729197345123,-0.3545071560160107,0.0659520492719342,0.2395887589619209,1.2063630150090252,0.6010956830701735,-2.4305996237108474,-2.2090267861317754,2.3708454405961477,-1.3445293574691455,2.286360252748853,0.2108080812498203,-0.7841912182970328
19,random_interior,True,1.1102230246251565e-16,,0.9441237214818451,0.23546588882800917,0.10636546749719177,0.028399477515847038,0.02106431430087245,5.028763620665594,0.10181718325981534,0.10910902483394622,-0.75922716129543,0.07065785814899045,-1.6880982669038176,-1.4525352836490588,1.0750704679021612,1.9103328365068324,-0.8326132924287366,-0.5345614706331475,-1.709973981767944,-2.1601001507122146,0.05980619348080163,-2.192713200793669
