development_label,candidate_id,distribution,regime,intended_training_role,split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons,parameter_vector_hash,protocol_eligible,protocol_exclusion_reason,cohort
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,0,boundary_challenge,near_feller,boundary_challenge,challenge_excluded,0,2.1791516002584856,0.012940050920406789,0.23060695349993682,-0.42423930277894112,0.1696435677015013,5.5252768323599692,0.14808651664050637,1.2563386518046638,0.031620947539118933,0.2475874805541334,True,True,0.029359453869943004,0.01805734203911312,0.18097887034563379,0.81902112965436624,0.28001047967376436,0.0097279009913975624,True,True,False,False,True,True,,,d275170b08e5fdbdad9d511faad164d492799c58929762264f6e5f7078f33717,True,,boundary_challenge
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,1,boundary_challenge,near_feller,boundary_challenge,challenge_excluded,0,2.1427058821797154,0.11780790100829884,0.68374716783011402,0.034313244310754942,0.17490788375633851,5.3558067611687488,0.1113042083883153,1.0625939323775258,-0.50188770082738043,0.197611328535403,True,True,0.038406518237475297,0.027200423268877869,0.25306866297692371,0.74693133702307635,0.26887873464343376,0.21124464300240725,False,True,False,False,True,True,,,766f87ff9e769cdb15fb634eca06a2f19a6b5deca59d29bc2a8aa3260f0f5811,True,,boundary_challenge
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,2,boundary_challenge,near_feller,boundary_challenge,challenge_excluded,0,0.99230873097399475,0.16608726710987354,0.55990811875100566,0.26095206246687647,0.20405915072648725,1.4408886083173373,0.0083662162041792977,0.14963409678925302,0.38160738414254225,0.16951194696866254,True,True,0.025069457479301269,0.036972274379473993,0.21372017453783043,0.78627982546216957,0.037538065049652104,0.032152607091814632,True,True,False,True,True,True,,,bd3a4db29f6e210cec1d0d37c4ac7159b6f028a1f5f06976e674fbec5841d659,True,,boundary_challenge
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,3,boundary_challenge,near_feller,boundary_challenge,challenge_excluded,0,0.38791087032126903,0.18650330577991187,0.37240951402245392,0.19768862730958237,0.063558425594814699,1.4475919618879356,0.13647081072409084,0.60887324371482598,0.21020662462997319,0.081695147771931209,True,True,0.021188606493875391,0.031836464959439904,0.083267618405873406,0.91673238159412662,0.088676241972105996,0.11324302200738953,False,True,False,True,True,True,,,eb14e81ab65689e199a01375ff820c478e892b0cd579cd2eb973712123049e83,True,,boundary_challenge
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,0,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.2284521066810577,0.23008089056533465,0.12482314047072801,-0.32007005292432988,0.27728713342215533,6.7963024231121008,0.08478727078317734,0.30570175208194184,0.2709967630478689,0.11733233501540141,True,True,0.7418380304208555,0.84998626884405382,0.17588408436140612,0.82411591563859388,0.54961090514067312,0.060492239552900916,False,False,False,False,False,True,,,ace67a6fafcae6ae58d9c2f4808b29047a113291c1e06347fbcbe21a450265af,True,,distribution_shift
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,2,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.25572218605853891,0.23043833109323938,0.19795053773921978,-0.076362419026154801,0.27507383744009239,6.3424114111940568,0.13785198173963056,0.76673536684939592,-0.068997794698091516,0.11304183478761974,True,True,0.50096516758147525,0.49678550546256439,0.010591914712726035,0.98940808528727398,0.50934637867242827,0.069736334257131841,False,False,False,False,False,True,,,4e498ace691ebde7b76525c55b1883cf16cc9d79d30dae2fc2cb71b4ba355b0e,True,,distribution_shift
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,4,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.21663839823821049,0.21731312068935812,0.061838009949422033,-0.7314201146035294,0.26944651138690123,3.0251917066678442,0.1441985657609734,0.41010988408397009,-0.26996260226765023,0.092985375713576332,True,True,0.9219450247254074,0.67675847610165829,0.60785519066976168,0.39214480933023832,0.23502538145854676,0.056487592623122189,False,False,False,False,False,True,,,958f8752fdeb91dbcf17b24802033e9299a0bbed43fdd604d9e7a1c5be07c530,True,,distribution_shift
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,6,wide_valid_train,slow_low_mean_reversion_high_variance,wide_valid_train,train,0,0.20748463083759291,0.22209133033848233,0.083995320322440781,0.33708672363520537,0.25523223276866552,4.4012966674818239,0.13247822499773243,0.24062183400164944,0.079233929509065035,0.075875967856590038,True,True,0.85778113871888539,0.90539793503879529,0.1199054748365648,0.88009452516343523,0.35094661394512394,0.053384620622912847,False,False,False,False,False,True,,,18b6c5a9a397165b368a7a6886c90ad761c1d5d80e287ca30daab6a9bd8997c3,True,,distribution_shift
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,1,wide_valid_train,accepted_wide_valid_margin_screen,wide_valid_train,train,0,0.44869975918590133,0.17716838827573159,0.37895408501772043,-0.28572114475337129,0.11321761822345444,9.2950674769711839,0.060637320526413525,0.4077332956730344,-0.77963310750345916,0.1055367545533732,True,True,0.05084196635707517,0.74295147990711019,0.68946435487467728,0.31053564512532272,0.74028181738788978,0.089666785524495168,False,False,False,False,False,True,,,33c4be1e72e8540ebaa1520dcd54aedb4baf49a3677fe6463e8da3432543f108,True,,maturity_conditioning_shift
DEVELOPMENT_SANITY_NOT_RESEARCH_RESULT,2,wide_valid_train,accepted_wide_valid_margin_screen,wide_valid_train,train,0,1.4152886315450837,0.047033846397347659,0.11899722510735752,0.50120202842412998,0.23842544883650163,9.6663645365073574,0.027394294781002294,0.44017685087370784,0.57565481962131337,0.017605539221365398,True,True,0.80772591950064476,0.46429139832675415,0.58258194464970914,0.41741805535029086,0.69046660292571338,0.062925561376473385,False,False,False,False,False,True,,,ffe86b898093d806d146c414556c13d5b8c0e2712e3456bf52d59f82b0e042f0,True,,maturity_conditioning_shift
