candidate_key,distribution,split,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,parameter_vector_hash
interior_train_000000,interior_train,train,1.3674937560587115,0.11602756036897444,0.3618711734277465,-0.14696793790549395,0.10372660942325253,2.6470842008378765,0.072086818770785641,0.18961705430448939,-0.37926637794207252,0.079266035045040373,b262584d6c2e76f7b46d635f580a5a00c7cb195e28a3536f18303e856704e8cd
interior_train_000001,interior_train,train,0.90298338397013733,0.09016300564900484,0.22418029639418402,-0.33010538663137307,0.05866776586412796,3.4514101205309595,0.054810891746578549,0.28280987369239641,0.010130685085568188,0.043994382369514702,1968a9d05e34b9b6a67d8c673a0709cdfdc806593a3124863f3928a0376f4f39
interior_train_000002,interior_train,train,0.5538335385685722,0.096997719956694567,0.12236635054048159,-0.66723382032429379,0.099036405841484237,3.9168477146942,0.057952529280327125,0.27931147189081756,-0.30067636821062504,0.094786511688864483,379f2306b2a54d687c52e95dfd857c6ee33c223782c628cae3c2ecaccd114d2f
interior_train_000003,interior_train,train,1.0512142661131847,0.085202766162734853,0.16810623721790699,-0.71184872373172903,0.13475463976145158,2.7479689276960255,0.077191699754445328,0.43903618502429342,0.09946236882925219,0.04196962432004582,280a62ec79033605643a715671119fb16383099f11f0a510b58de8a28b0589a3
interior_train_000004,interior_train,train,0.92546831929461204,0.099496105340664553,0.25120796267226925,-0.33008594000232011,0.05535322344358834,2.7485120068524007,0.027087315880907938,0.10698276132707757,-0.31475095527527508,0.059026943148932157,c8ddfbbf9262c75876ea971d9f12b4adbedc4ff93a2c3b737fc936878f6da64c
interior_train_000006,interior_train,train,0.68276168188741404,0.038988731038801884,0.094815987800244209,-0.049604178729597964,0.11414600004528332,4.8088494590945796,0.047873192717256499,0.52396312130427825,0.094188513387707146,0.081615464746983474,e9b965c7626ceea6d3b71940aadbfe35e83221dca7add1d4bb990348d65e56c2
interior_train_000008,interior_train,train,0.64728276153342101,0.06927722225578542,0.15813328711363803,0.062166768201555374,0.1135553300615392,4.1109349878435157,0.035618312289418017,0.41894585762850811,0.02316232054410132,0.036907455377148402,dc04f4bb10be8d05141036795b8c9f6348cafd8002bf5a6dc356393108a7d20c
interior_train_000009,interior_train,train,0.53678358609256072,0.10747602119345731,0.18817889195741691,-0.10749381942426738,0.11939896634687541,4.9865283935637859,0.019692612492461146,0.2559057324727298,-0.10618270026576883,0.015024900456261057,4d09b3b5a0c01e254058e8e204bdeefe2198a061f892ee7cd1a0be8b44b0c5f1
interior_train_000011,interior_train,train,1.3153840766581575,0.051802228299732869,0.1612213719855165,-0.62493522924394329,0.062240751589894242,2.7447293240799935,0.069979324299837511,0.2783474379210914,0.19745126365440108,0.015217220089956879,6cfab3f15b32df389a84fc16cec886722ac48694c75301ad6b5be86ecc021aa3
interior_train_000012,interior_train,train,1.2345029598333055,0.085795286722412628,0.25936855674798592,0.10165371623173397,0.060596147702723688,4.7057818602502319,0.065666094069907546,0.52295868836451542,-0.04703328121631907,0.044452525147229381,7440e086d16c94bf9e3e046a1419acaa16f3d13e880372216693e6a1fd5ccf2c
