candidate_id,distribution,regime,intended_training_role,reviewed_sampler_diagnostic_split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons,candidate_key,selected_for_clean_core
0,interior_train,normal,interior_train,train,0,0.45794598568811939,0.05297821442199753,0.14768669633853584,-0.51547677505749989,0.10230494777251696,3.5569341043618929,0.019756949531882874,0.10255765360434538,0.33874079932314755,0.042440854389833214,True,True,0.37977481618218095,0.86074902438397849,0.38046163474976524,0.61953836525023476,0.2593295496798137,0.065255955588190875,False,False,False,False,False,True,,,interior_train_000000,True
1,interior_train,normal,interior_train,train,0,1.2313661602719082,0.10655325040900906,0.22330930379658823,-0.66048296938035655,0.079305765148640239,4.6117611219269943,0.078848727427005744,0.38975593535904618,0.065051894547778419,0.070633216352984196,True,True,0.68062523186334933,0.65442581981422532,0.44046950182574829,0.55953049817425171,0.28287823946904489,0.15237738453665442,False,False,False,False,False,True,,,interior_train_000001,True
2,interior_train,normal,interior_train,train,0,0.51779716339652604,0.11077476392559624,0.26729311456219146,0.11114386219838987,0.061277137834598677,5.9812545795319618,0.024769062844929288,0.22106488776767697,-0.22950468602333529,0.024872344423594234,True,True,0.23244163537533163,0.71683686719785156,0.065025359011044392,0.93497464098895566,0.45719308921635443,0.092227195256428349,False,False,False,False,False,True,,,interior_train_000002,True
3,interior_train,normal,interior_train,train,0,1.1651499230185716,0.093992997713182258,0.29355629453610704,0.089223525768975034,0.093742579882288984,2.3289901404863533,0.077394052718051429,0.27575998395586365,-0.2646209389735214,0.086771626963815129,True,True,0.43529964158045092,0.65161061038457602,0.077985078893875098,0.92201492110612493,0.097392486817387602,0.18111035716111279,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,interior_train_000003,False
4,interior_train,normal,interior_train,train,0,0.90055620619707333,0.081786485467549103,0.24701948968875037,-0.3420792694555011,0.071704481365968978,4.8849825456652827,0.039695996087681373,0.22537756535877126,0.29553750944649199,0.048493230232407432,True,True,0.41419853053849159,0.76838887115563914,0.20436064608104468,0.79563935391895535,0.3334247982818585,0.14740974271489715,False,False,False,False,False,True,,,interior_train_000004,True
5,interior_train,normal,interior_train,train,0,0.82545195252115411,0.029033196034829345,0.064532247747087337,-0.040360018572752933,0.14400780587805012,2.3444862783944367,0.038387661101902122,0.297170299019197,-0.22441689534709475,0.081478982894888807,True,True,0.8401237428148417,0.34172743055841015,0.051991874016421837,0.9480081259835782,0.12711584316931235,0.059831404770942051,False,False,False,False,False,True,,,interior_train_000005,True
6,interior_train,normal,interior_train,train,0,1.3276080580145633,0.10812027029747534,0.26953153471214147,-0.18849946838670456,0.13869153206776283,2.5808824358751514,0.056942369530330876,0.22736448211511812,-0.30962519423956114,0.012657315077926584,True,True,0.59610117664574569,0.70085673755696198,0.13139981048995619,0.86860018951004381,0.10487651697578144,0.04297304466905881,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,interior_train_000006,False
7,interior_train,normal,interior_train,train,0,1.0109980678292709,0.042084432368390573,0.1543437876589753,0.17165112650717373,0.07772194854723144,5.969016754062423,0.033578081637649096,0.45952498474901488,-0.30628468892778077,0.088653196582844984,True,True,0.56256415324629339,0.30994610427331876,0.12327441990276919,0.87672558009723078,0.41489696119105879,0.15009425895374401,False,False,False,False,False,True,,,interior_train_000007,True
8,interior_train,normal,interior_train,train,0,0.76271339184375564,0.095503143518864353,0.19126450457359798,-0.24141729882379254,0.11620944387151359,2.6700543688692679,0.079857972332638139,0.23718966135753253,-0.52600726379880958,0.059580388636814315,True,True,0.59858362448249758,0.76690340076201535,0.33496595374048682,0.66503404625951323,0.15961012360046128,0.15531081027259699,False,False,False,False,False,True,,,interior_train_000008,True
9,interior_train,normal,interior_train,train,0,0.40735220911953474,0.074796100398970167,0.063608192273511707,-0.33324334113622489,0.10892649295551564,4.4083510431160633,0.073349219102708391,0.54142372863945953,-0.23622924428464126,0.025823372808457541,True,True,0.87547451386747133,0.37619101289615486,0.16685538026692706,0.83314461973307297,0.33481161790765934,0.058902705802524331,False,False,False,False,False,True,,,interior_train_000009,True
10,interior_train,normal,interior_train,train,0,0.99439829783477451,0.091202054079821265,0.19423341305492975,-0.30988006188831568,0.070947528418680753,5.8083074635450362,0.013932384737273542,0.18192986361347577,-0.017130019068871013,0.091120083679958275,True,True,0.65563599151673946,0.66043376986811109,0.09631909030920624,0.90368090969079373,0.40283758708872491,0.0602645693801694,False,False,False,False,False,True,,,interior_train_000010,True
11,interior_train,normal,interior_train,train,0,0.55125137270890934,0.029278836526798174,0.1168475477657164,0.14920810864781622,0.084613889378370416,4.2920499604750946,0.01694601665098066,0.27006992909932764,-0.44140589724958013,0.067824231910221716,True,True,0.40551471690613095,0.33208417157144215,0.2171022258129654,0.78289777418703466,0.31303753872520379,0.075484932580710401,False,False,False,False,False,True,,,interior_train_000011,True
12,interior_train,normal,interior_train,train,0,0.46162016814154933,0.059614512420463839,0.12356742185843871,-0.36394076621422683,0.099895539553728749,4.3828857750322898,0.010512217451311793,0.14716449714174684,-0.4077891591037065,0.059458627279184481,True,True,0.56565308409647674,0.61939505512996307,0.29874487959510654,0.70125512040489346,0.32813938132976911,0.042990997228847437,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,interior_train_000012,False
13,interior_train,normal,interior_train,train,0,0.56086610042288287,0.079101683476130627,0.092094872844545927,-0.20860872954528911,0.13195908658606278,5.0701613823226586,0.052969575709922008,0.32044556138292285,-0.22215939200127374,0.056571596528136106,True,True,0.82550645543906243,0.67901494659647588,0.092872397496875189,0.90712760250312485,0.37734688551462559,0.087532535522156701,False,False,False,False,False,True,,,interior_train_000013,True
14,interior_train,normal,interior_train,validation,0,1.1331544161073606,0.063971722884227658,0.22550678360748802,0.19241044236427901,0.088439924060469688,2.2692545633344441,0.040319103096622518,0.26105707302434977,-0.51401073735343372,0.073408395908869994,True,True,0.48064614196766964,0.45726722359269834,0.3012288164454382,0.6987711835545618,0.095071142027371006,0.17127563412999983,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,interior_train_000014,False
15,interior_train,normal,interior_train,validation,0,0.38569748875415899,0.041416539168498315,0.075123077251322834,-0.1392489491653694,0.10758882350593159,4.9074897136041145,0.01190575318032403,0.1254435570649664,-0.35853026562460177,0.038728483063419923,True,True,0.69975108097935457,0.76263684968126355,0.14793422121250713,0.8520657787874929,0.37839265479915946,0.05002905646628298,False,False,False,False,False,True,,,interior_train_000015,True
16,interior_train,normal,interior_train,validation,0,0.49095722205213854,0.11360591501238251,0.22273631270604649,-0.32295679847712594,0.13492352652611028,2.8179886337893691,0.024424097948465655,0.1438149094715036,-0.58253582048190911,0.0724145529397279,True,True,0.38433088536666926,0.73874952793513393,0.44364907582712598,0.55635092417287402,0.19473066207006118,0.092852782255186353,False,False,False,False,False,True,,,interior_train_000016,True
17,interior_train,normal,interior_train,test,0,0.80035536997382639,0.079661947067216882,0.11812043864981148,-0.72507486217578399,0.094728010818590433,2.6641314185267895,0.036594164824816297,0.33396447883667207,-0.071413640714695401,0.019707716686253221,True,True,0.8027480272956582,0.27225712141594743,0.53083346383935981,0.46916653616064019,0.15596452289146134,0.071402083412311371,False,False,False,False,False,True,,,interior_train_000017,True
18,interior_train,normal,interior_train,test,0,0.51143459991170714,0.039797195688941293,0.13700793283184157,-0.66513610190114947,0.021035205244049046,4.4876424825338201,0.053750209913854756,0.33527044750431489,0.22199690481154705,0.039312651290672712,True,True,0.36880809508715751,0.62205562883858789,0.4916886597981634,0.50831134020183666,0.33273706130728981,0.054356627945928972,False,False,False,False,False,True,,,interior_train_000018,True
19,interior_train,normal,interior_train,test,0,1.2584606542118715,0.0981185122575505,0.23522427336797347,0.049101162546797014,0.10710566698529765,5.2718392765727051,0.049175974919603578,0.37377556503016784,-0.098485900058914902,0.04133807568893489,True,True,0.63392105690894374,0.57548660934467577,0.012110396673861556,0.9878896033261384,0.33584758346115762,0.15862127293925357,False,False,False,False,False,True,,,interior_train_000019,True
20,interior_train,normal,interior_train,train,0,0.3704085614567455,0.028219573929807999,0.094659902308821417,-0.22619694997620746,0.11527594309241632,3.2180541529028774,0.077326009743180116,0.33491882319126709,-0.36458518898878406,0.062410527336974629,True,True,0.39995413499693927,0.63213653586439666,0.18408742020852628,0.81591257979147369,0.23829670221306545,0.09011045458173006,False,False,False,False,False,True,,,interior_train_000020,True
21,interior_train,normal,interior_train,train,0,1.3103626715804702,0.049455418475341288,0.14817769432821645,0.11312651199314998,0.13121789646845594,3.1786937215889965,0.052447316254877842,0.23247546195760421,-0.25520932175137667,0.068603189958260063,True,True,0.71026915144178748,0.72103927109935551,0.077929405624534015,0.92207059437546601,0.15634569456138298,0.14389718022936326,False,False,False,False,False,True,,,interior_train_000021,True
22,interior_train,normal,interior_train,train,0,0.65747052073744672,0.068666013192206082,0.09101024793214714,-0.1567355288473406,0.082490212628801504,3.4798541070592481,0.055172515764287555,0.2093825507911756,-0.17507802042866852,0.088986736681764156,True,True,0.83194731297611624,0.79505178724824843,0.055218339240276804,0.94478166075972325,0.23618272688885367,0.0864424602333137,False,False,False,False,False,True,,,interior_train_000022,True
23,interior_train,normal,interior_train,train,0,0.9550690507719688,0.066252879569004802,0.14552622853573299,-0.49673386734227259,0.029474384840715032,3.0402390075482986,0.040050625592579617,0.38908668908918165,-0.48468938737037998,0.066122052569291906,True,True,0.71328939970623273,0.23331198725722446,0.4816683371942847,0.5183316628057153,0.17449120977207783,0.082964016409203492,False,False,False,False,False,True,,,interior_train_000023,True
24,interior_train,normal,interior_train,train,0,1.1052360407618607,0.078071145664625502,0.21996263063916111,-0.44547219553112982,0.030284151699538676,5.9186476934013346,0.038700975356030627,0.27753019028736853,0.038017587834929374,0.016055765719304199,True,True,0.56205580941753119,0.71213771670416104,0.19989081397611175,0.80010918602388825,0.40279595419577185,0.05667647467461371,False,False,False,False,False,True,,,interior_train_000024,True
25,interior_train,normal,interior_train,train,0,0.67635780493342934,0.030031152065346914,0.07226634692709373,0.13536986556397151,0.021833811465215791,2.3192929288487947,0.053270518744282243,0.36798761808582736,-0.02263417183010915,0.074844847435344614,True,True,0.77217549491544601,0.29197562794016935,0.018837306237242626,0.98116269376275733,0.13748411078789669,0.057063767678697599,False,False,False,False,False,True,,,interior_train_000025,True
