truth_index,truth_id,source,sample_id,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast
0,case_1,standing_representative_g2_case,interior_train_4151,0.7201001270341181,0.0627343918595344,0.2119791852951291,-0.1802978834235966,0.0730662426958352,3.703463446201858,0.0433194740041468,0.2627966047238745,-0.1036039245690306,0.0678851614425259
1,case_2,standing_representative_g2_case,interior_train_1450,1.3814304349374713,0.1191704658387904,0.2028616298687553,-0.6619571308153547,0.1075045663356258,5.940280012505328,0.0738837487753257,0.7311424537922181,-0.0610983933146679,0.077538064427117
2,case_3,standing_representative_g2_case,wide_valid_train_744,1.345471123521795,0.10402368329319,0.1927738068021157,-0.1243602019590688,0.1830631299606303,6.931444137752705,0.0773359823305846,0.5905528253398824,-0.2870652967954047,0.1220541374473158
3,case_4,standing_representative_g2_case,wide_valid_train_4264,2.297187948528226,0.1999311918616672,0.7611044302387986,0.1827516134971883,0.0523569672586306,7.478763310652926,0.0644440362118678,0.9115907741472162,0.6143052142846812,0.1958509664540857
4,interior_seed20260822_0000,reviewed_interior_seed_20260822,interior_train_0,1.0809124105507462,0.11228571513748453,0.3551406449117649,-0.7122573277070329,0.02049967357823098,3.1631973854323285,0.03269968457426795,0.2158645908294904,0.07346231122342377,0.07663033993645757
5,interior_seed20260822_0001,reviewed_interior_seed_20260822,interior_train_1,1.3944760016994266,0.0968171900563067,0.26932611871101103,0.0666792799545881,0.029098532179001456,3.7451625393545283,0.0728045464187859,0.20091957803377555,0.060714623269527264,0.03720760220615124
6,interior_seed20260822_0002,reviewed_interior_seed_20260822,interior_train_2,1.0252947712282878,0.09945164953497651,0.2725029194335754,-0.667181536133581,0.05454461146624169,5.895539813771435,0.03996289278080805,0.3399807846326683,-0.20127020515654703,0.09620215264746396
7,interior_seed20260822_0003,reviewed_interior_seed_20260822,interior_train_3,1.2728120188660728,0.025737485707389183,0.1483728144516185,-0.27282917555016695,0.023859874264306084,2.7520782868595575,0.06371282948782142,0.4238991063370671,0.19340290413386357,0.09063516852384451
8,interior_seed20260822_0005,reviewed_interior_seed_20260822,interior_train_5,0.6450122032572132,0.0991918502176834,0.24790744821155214,0.19118333658575745,0.04551753673781339,2.5657579204600447,0.044141631886888216,0.26046892765678087,-0.3971075887897186,0.03599364309305508
9,interior_seed20260822_0006,reviewed_interior_seed_20260822,interior_train_6,0.34598786259102177,0.03832981435922083,0.10793950848480968,-0.2377296796811789,0.08541582542351762,5.379681976062087,0.029952309564567882,0.33308322085579284,-0.04596192108000893,0.050045719237041146
10,interior_seed20260822_0008,reviewed_interior_seed_20260822,interior_train_8,0.4591461990234737,0.0307227719929022,0.0587683759684607,0.1828385112795272,0.1459965241969599,5.986773884166591,0.07364357707898832,0.6893829358393606,0.004348116242294398,0.08456492898008947
11,interior_seed20260822_0009,reviewed_interior_seed_20260822,interior_train_9,0.902201306997092,0.05716312749356348,0.2336973327767775,0.05825737385401364,0.1350093309719727,5.4734601074315785,0.05702636939192746,0.5426559668638288,-0.5483474463313802,0.07052108005285965
12,interior_seed20260822_0010,reviewed_interior_seed_20260822,interior_train_10,0.6009268614673414,0.043919087998882916,0.06506860276680287,-0.12915820799493422,0.06623455261675472,4.833551799252442,0.07067115460795964,0.434438819945272,0.2575763795917771,0.020063022999739184
13,interior_seed20260822_0013,reviewed_interior_seed_20260822,interior_train_13,0.4179131276430182,0.09149489672581643,0.20942726623154628,-0.6585488943920406,0.12458804116289243,4.19375597472888,0.05543484818701251,0.20077194573334928,0.11635142094829813,0.03269747830085071
14,interior_seed20260822_0014,reviewed_interior_seed_20260822,interior_train_14,0.7462776006710043,0.04146389302642285,0.12827475162930127,-0.10980722281492782,0.13696827537793552,4.612218463094832,0.04308814435389072,0.1902058682030715,-0.45309114455365657,0.07755247443043742
15,interior_seed20260822_0015,reviewed_interior_seed_20260822,interior_train_15,0.3199843047134938,0.11572836980311443,0.10509709393703619,-0.018305299086991935,0.057586396912072485,3.653623541336703,0.05909845737702519,0.17030672680401043,-0.07190773820173088,0.044803019146374516
16,interior_seed20260822_0016,reviewed_interior_seed_20260822,interior_train_16,1.304420137825866,0.10527134382739073,0.4156078514826372,0.06529864458486323,0.10045954078818921,5.191092437135042,0.05968186217791035,0.2650454004987976,0.13378944821644298,0.01671595587329934
17,interior_seed20260822_0017,reviewed_interior_seed_20260822,interior_train_17,1.3475335623364157,0.051949669170105565,0.2535230665668919,0.051679098919033314,0.027987567616190093,2.7323093604164725,0.07777603015510183,0.3715525877413167,-0.3719468930635134,0.09411072928908262
18,interior_seed20260822_0018,reviewed_interior_seed_20260822,interior_train_18,0.8480287494481702,0.06701372305588309,0.1684340988447438,-0.5392473696822049,0.08131378277530653,4.298298823198563,0.0253138119615922,0.16568895488261337,0.30602642618297726,0.052766570566704446
19,interior_seed20260822_0020,reviewed_interior_seed_20260822,interior_train_20,1.2556785091046594,0.09262233706129999,0.30012091586013456,-0.14383423837701503,0.12188089432760192,3.4480005833547622,0.025006310894875768,0.11971291859014703,0.08279776251373644,0.051940795856091404
