record_type,truth_id,truth_index,representation,noise_index,noise_level,profile_date,start_index,start_strategy,success,optimizer_status,optimizer_message,nfev,reached_cap,loss,repricing_rmse,repricing_rmse_relative,parameter_rmse_scaled,max_abs_price_error,boundary_reasons,recovered_kappa_slow,recovered_theta_slow,recovered_sigma_slow,recovered_rho_slow,recovered_v0_slow,recovered_kappa_fast,recovered_theta_fast,recovered_sigma_fast,recovered_rho_fast,recovered_v0_fast,scaled_error_kappa_slow,scaled_error_theta_slow,scaled_error_sigma_slow,scaled_error_rho_slow,scaled_error_v0_slow,scaled_error_kappa_fast,scaled_error_theta_fast,scaled_error_sigma_fast,scaled_error_rho_fast,scaled_error_v0_fast,runtime_seconds
run,case_1,0,R2,0,0.0,2026-07-01,0,neutral_transform_midpoint,True,1,`gtol` termination condition is satisfied.,29,False,1.12619127887803e-16,1.0612215974423202e-08,3.946130189730477e-07,0.06666406500593104,1.8742029081475486e-08,,1.2797697507424153,0.07387580045075803,0.23592912088955784,-0.19917295282073175,0.06134054423566035,3.2362395420171737,0.04397135557260417,0.23725287383206067,-0.092745943142096,0.07963552767036088,0.18971851651128716,0.04547513710703521,0.024070287029576615,-0.009934247051123724,-0.03974813037347405,-0.03926251295669614,0.0032923311538251288,-0.017086107619942364,0.0057147270668076455,0.047380508983205505,1.998105899998336
run,case_1,0,R2,0,0.0,2026-07-01,1,deterministic_broad_1,True,1,`gtol` termination condition is satisfied.,58,False,1.101186693353465e-16,1.0493744295309777e-08,3.966315541138222e-07,0.20248774823619548,1.838431899076065e-08,,0.8621034893827275,0.21234259059197488,0.23652521592087972,-0.16129850501818993,0.07449811433958826,4.925337918242601,0.013098367715710796,0.24106312027479113,-0.11285071315176909,0.06763228609482032,0.048136732999528614,0.6106457091120019,0.024669377513317214,0.009999672844950958,0.004853802182213762,0.10267852706224734,-0.15263184994159595,-0.014537447792029007,-0.004866730833020305,-0.0010196586601031732,4.15737739999895
run,case_1,0,R2,0,0.0,2026-07-01,2,deterministic_broad_2,False,0,The maximum number of function evaluations is exceeded.,120,True,7.456128104626002e-15,8.6348874368031e-08,3.6804564904852636e-06,0.12843473888840176,1.455039626563348e-07,,1.3558882628866964,0.027918097122011258,0.18072034767937592,-0.2133167228637771,0.123012521229962,3.905378550755697,0.031115752519745174,0.4686649871229883,0.014601466453474772,0.017402460651331872,0.21552140198392486,-0.14210732545927815,-0.031415917201761984,-0.017378336547463402,0.16930941875975186,0.01696765584486043,-0.06163495699192739,0.13770460361144737,0.06221336369605546,-0.20355927738384688,10.47833840000385
run,case_1,0,R2,0,0.0,2026-07-01,3,deterministic_broad_3,False,0,The maximum number of function evaluations is exceeded.,120,True,1.0279890562903841e-13,3.2062268420846086e-07,1.951980389729987e-05,0.1270583928760948,6.065441239041375e-07,,0.3294243998647288,0.08334776278766903,0.04883779130775103,-0.1087875813252315,0.022689242036764173,1.3921014797783695,0.041790555259709,0.24836327679464876,-0.15385803758354502,0.11796675712168049,-0.13243244988792852,0.08413620786993725,-0.16396119998731462,0.03763700110440277,-0.1707694937595628,-0.1942320980187805,-0.00772181184059495,-0.009654399952659348,-0.02644953316553389,0.20194191806110723,10.200082099996507
run,case_1,0,R2,0,0.0,2026-07-01,4,deterministic_broad_4,False,0,The maximum number of function evaluations is exceeded.,120,True,2.3230340638624374e-08,0.00015241502760103537,0.006976417746666851,0.26954436480191785,0.00026301744925021076,,1.5980855574466428,0.14447998848340254,0.5487798441230787,-6.489707326118523e-07,0.027668205118136398,10.225877605698726,0.06946821431359443,0.060114745003205274,-1.170248487892121e-09,0.11758517368055225,0.2976221798008558,0.3336554964239516,0.3384931244502005,0.09489328129098112,-0.15389165280575867,0.5481020302098208,0.13206434499721023,-0.13557315031482892,0.05452838073620109,0.20040327515333206,10.102541099993687
run,case_1,0,R2,0,0.0,2026-07-01,5,deterministic_broad_5,False,0,The maximum number of function evaluations is exceeded.,120,True,3.3527289160468533e-12,1.8310458530705487e-06,0.00010444626754203771,0.34514318734320437,2.8844939917865853e-06,theta_slow:near_lower_hard_bound;sigma_slow:near_lower_hard_bound,2.730554427926245,0.008788294506317861,0.007518146307498422,-0.1809294752848294,0.11958191376606937,11.75784886560699,0.05036728781640177,0.734057063024655,-0.3072582207209674,0.01768285456233598,0.6815099325058057,-0.22018815246210835,-0.20548848139460368,-0.0003324167690698654,0.15768024091604804,0.6768391108743809,0.035595019253813004,0.31522438682326454,-0.10718647165891415,-0.20242865677495936,10.947342500003288
run,case_1,0,R2,0,0.0,2026-07-01,6,deterministic_broad_6,False,0,The maximum number of function evaluations is exceeded.,120,True,6.261112621678008e-12,2.5022215372900156e-06,0.00016107252081609018,0.09339266066968001,4.156938929897325e-06,,1.1435967817828792,0.10389910689951454,0.2133446505610863,-0.24834779369786894,0.08449769982476951,2.7345732538158956,0.013194097326004878,0.25039872321208456,0.010398980528309702,0.05638851637400328,0.1435581880504275,0.1680192450611434,0.0013723269004595195,-0.03581574224961698,0.03875070213198073,-0.08141934389798,-0.15214836706132281,-0.008292897332300958,0.06000152899860012,-0.04635743979242993,8.478583699994488
run,case_1,0,R2,0,0.0,2026-07-01,7,deterministic_broad_7,False,0,The maximum number of function evaluations is exceeded.,120,True,6.78803927465924e-14,2.6053865883318044e-07,1.5287262151572014e-05,0.2319502282199943,4.7430629372506583e-07,sigma_fast:near_lower_hard_bound,1.5289696876003653,0.05065990691945017,0.2528521216769754,-0.1681680688481502,0.11499337848389454,9.639029495763975,0.02781137499796859,0.018730037870824938,0.5750801422269313,0.02543321424355449,0.2741930713783889,-0.049283612000343785,0.04107832802195607,0.006384112934445518,0.1421258840273198,0.49878706298841324,-0.07832373235443538,-0.1632552286642472,0.3572021404189273,-0.17117720644746537,11.033226799998374
run,case_1,0,R2,0,0.0,2026-07-01,8,deterministic_broad_8,True,1,`gtol` termination condition is satisfied.,66,False,8.20910104503503e-18,2.8651528833615547e-09,1.215445003610775e-07,0.14105126009877636,4.89084328592071e-09,,1.6581871780320352,0.06815228494153718,0.22867472116275092,-0.17728077144284446,0.11824287888715697,5.516296813500051,0.021648657152730524,0.273858942715673,0.028169529073125945,0.022455017062635495,0.3179956105077685,0.022113849314296996,0.016779433032785757,0.0015879536740801004,0.1531411396315992,0.1523389384284196,-0.10944856995664783,0.007399557185149508,0.06935444928534551,-0.18318606604794518,5.491909600001236
run,case_1,0,R2,0,0.0,2026-07-01,9,deterministic_broad_9,False,0,The maximum number of function evaluations is exceeded.,120,True,1.1750429620028221e-14,1.0839939861469814e-07,4.099837201772713e-06,0.14868962040363468,1.9100548485223579e-07,,1.4164274611040988,0.044635450589723756,0.2716007179392228,-0.20370777639417964,0.0849838480443093,8.207014807973325,0.050582584567567854,0.16666478898504225,0.009544911377753545,0.05602512031802164,0.23604316409151885,-0.07387322967269652,0.05992113833577259,-0.012320996300306863,0.04039866219821725,0.3784496942665099,0.036682376582934634,-0.06430221788550652,0.05955201891936013,-0.047822746469775246,10.169972100004088
